"post_id","date","year","nhood","city","county","price","beds","baths","sqft","room_in_apt","address","lat","lon","title","descr","details"
"6488646647",20180208,2018,"alameda","alameda","alameda",4888,4,NA,NA,0,NA,NA,NA,"Beautiful Home for Rent in Alameda",NA,NA
"6550087854",20180405,2018,"alameda","alameda","alameda",2500,2,1,1050,0,NA,NA,NA,"Lovely 2BR/1BA Upper Unit in Alameda!",NA,NA
"6552317470",20180405,2018,"alameda","alameda","alameda",1000,0,NA,NA,0,NA,NA,NA,"Alameda Awesome studio",NA,NA
"6565269200",20180419,2018,"alameda","alameda","alameda",765,0,NA,NA,0,NA,NA,NA,"ALAMEDA LOADED STUDIO AVAILABLE ASAP",NA,NA
"6603797987",20180531,2018,"alameda","alameda","alameda",769,0,NA,NA,0,NA,NA,NA,"ALAMEDA LOADED STUDIO AVAILABLE",NA,NA
"6565260273",20180419,2018,"alameda","alameda","alameda",2595,1,NA,800,0,NA,NA,NA,"Coming Soon! Beautiful One Bedroom Cottage. Large Private Backyard.",NA,NA
"6556503473",20180419,2018,"alameda","alameda","alameda",3000,3,1.5,1100,0,NA,NA,NA,"3 BR/1.5 BA Townhouse like apt with detached garage",NA,NA
"6455336052",20180111,2018,"alameda","alameda","alameda",2743,2,2,1120,0,NA,NA,NA,"2BR/2BA Apt. in a Neighborhood Just Steps from the Beach!",NA,NA
"6591219593",20180517,2018,"alameda","alameda","alameda",1775,1,NA,600,0,NA,NA,NA,"1BX1B APARTMENT FOR RENT",NA,NA
"6522699003",20180308,2018,"alameda","alameda","alameda",1800,2,1,650,0,NA,NA,NA,"$1800 / 2br - 650+ft2 San Lorenzo 2bed 1bath",NA,NA
"6455333953",20180111,2018,"alameda","alameda","alameda",3522,2,NA,866,0,NA,NA,NA,"Wonderful One Bedroom Ready Today,W/D,Marina View, 1 Week FREE",NA,NA
"6584914613",20180510,2018,"alameda","alameda","alameda",1795,1,NA,650,0,NA,NA,NA,"Clean, Quiet, Near Buses, Spacious",NA,NA
"6616644398",20180614,2018,"alameda","alameda","alameda",1999,1,NA,NA,0,NA,NA,NA,"Take Long Walks Along The Bay Here!",NA,NA
"6558666042",20180426,2018,"alameda","alameda","alameda",2950,2,1,800,0,NA,NA,NA,"Stunning Alameda Lagoon view Apt, Complete remodel...  2BD/1BA",NA,NA
"6616642087",20180614,2018,"alameda","alameda","alameda",1999,1,NA,NA,0,NA,NA,NA,"Commute On A Ferry! Alameda's Finest SW Location!",NA,NA
"6477765428",20180201,2018,"alamo square","san francisco","san francisco",2995,1,1,NA,0,"2795",37.329219,-121.895821,"Bright &amp; Spacious 1 Bed/1bth apt.-Showing 2/3 at 11:00-11:30 am","Apartment walking distance to VTA Light Rail, Caltrain Station, Bus, and Downtown San Jose.Near Highway 87, off of Park Ave.  Dine-in kitchen, living room, full bathroom, and one bedroom.  Approximately 500 s.f.  Quiet upstairs unit, ideal for one person.  Kitchen features gas stove with oven, hood, and refrigerator. Includes wall heating, coin-operated laundry on-site, and 1 carport space.   Rent: $1,895.00/monthRent includes water, garbage & landscapeSecurity Deposit: $1,895.00Application Fee: $30.00No Pets and No Smoking AllowedDeposits subject to Credit & Income qualifications, and background check.FOR MORE INFORMATION please email me with your phone number so I can get back to you or call  show contact info.","<p class=""attrgroup"">""shared-line-bubble"">1BR / 1Ba""shared-line-bubble"">500ft2""housing_movein_now property_date shared-line-bubble"" data-date=""2018-02-01"" data-today_msg=""available now"">available feb 1</p>"
"6591212798",20180517,2018,"alamo square","san francisco","san francisco",790,2,NA,NA,0,NA,NA,NA,"$790 / 2br - ~great falls-Duplex-",NA,NA
"6571887465",20180426,2018,"alamo square","san francisco","san francisco",3050,1,NA,NA,0,NA,NA,NA,"Charming Victorian garden apt-available in June",NA,NA
